full_name,count,sum
"Engine Fuel System Components, Nonaircraft",77,110383.37
Engine Instruments,13,35933.04
"Engine System Cooling Components, Aircraft Prime Moving",13,29949.54
"Fans, Air Circulators, and Blower Equipment",141,96120.17
Fastening Devices,44,359.60
"Fencing, Fences, Gates  and Compo- nents",131,35983.44
Fiber Optic Accessories and Supplies,1,297.29
Fiber Optic Cables,8,11229.74
Fiber Optic Conductors,1,29538.0
Fiber Optic Interconnectors,3,23549.68
Fiber Optic Kits and Sets,6,43476.82
"Fiber Rope, Cordage, and Twine",417,294289.19
Filters and Networks,4,5564.47
Fire Control Computing Sights and Devices,7,2176.61
Fire Control Designating and Indicating Equipment,7,13383.16
Fire Control Maintenance and Repair Shop Specialized Equipment,10,42514.05
"Fire Control Radar Equipment, except Airborne",5,41.36
"Fire Control Transmitting and Receiving Equipment, except Airborne",9,46271.40
Fire Fighting Equipment,269,4509414.93
Fishing Vessels,3,20500.0
"Fittings for Rope, Cable, and Chain",140,35057.12
Flags and Pennants,67,8065.67
Flight Instruments,42,336212.76
Floor Coverings,33,6898.58
Floor Polishers and Vacuum Cleaning Equipment,219,202948.17
"Food Cooking, Baking, and Serving Equipment",512,545934.47
Food Products Machinery and Equipment,12,23750.0
"Footwear, Men's",3224,313130.55
"Footwear, Women's",44,3405.92
Forging Machinery and Hammers,1,9334.34
Freight Elevators,2,81857.95
Fuel Burning Equipment Units,12,1869.55
"Fuses, Arresters, Absorbers, and Protectors",56,2091.32
"Games, Toys, and Wheeled Goods",30,14295.57
Gardening Implements and Tools,413,509845.59
"Gas Generating and Dispensing Systems, Fixed or Mobile",7,2458548.17
"Gas Turbines and Jet Engines, Aircraft, Prime Moving; and Components",209,4114577.95
"Gas Turbines and Jet Engines, Non-Aircraft; and Components",1,78.76
"Gas Welding, Heat Cutting, and Metalizing Equipment",92,83914.36
"Gasoline Reciprocating Engines, Aircraft Prime Mover; and Components",3,26173.21
"Gasoline Reciprocating Engines, Except Aircraft; and Components",68,294250.00
Gasoline Rotary Engines and Components,5,21350.0
"Gears, Pulleys, Sprockets, and Transmission Chain",25,25830.67
"Generators and Generator Sets, Electrical",1940,26123268.19
Glass Fabricated Materials,26,6622.46
Gliders,6,1140000.0
