agency_name,state,agency_type
BEAVERCREEK POLICE DEPT,OH,local_police
BEDFORD COUNTY SHERIFF DEPT,TN,sheriff_dept
BEDFORD POLICE DEPARTMENT,IA,local_police
BEEBE POLICE DEPT,AR,local_police
BEECHER POLICE DEPT,IL,local_police
BEL AIRE POLICE DEPARTMENT,KS,local_police
BELKNAP COUNTY SHERIFF DEPT,NH,sheriff_dept
BELL COUNTY SHERIFF DEPT,TX,sheriff_dept
BELL GARDENS POLICE DEPT,CA,local_police
BELLEVILLE POLICE DEPT,IL,local_police
BELLEVILLE POLICE DEPT,NJ,local_police
BELLEVUE POLICE DEPT,KY,local_police
BELLMEAD POLICE DEPT,TX,local_police
BELMAR POLICE DEPT,NJ,local_police
BELVIDERE POLICE DEPT,IL,local_police
BENAVIDES POLICE DEPT,TX,local_police
BENNINGTON COUNTY SHERIFF DEPT,VT,sheriff_dept
BENT COUNTY SHERIFF,CO,sheriff_dept
BENTON COUNTY SHERIFF DEPT,TN,sheriff_dept
BENTON POLICE DEPT,AR,local_police
BERKELEY TOWNSHIP POLICE DEPT,NJ,local_police
BERNICE POLICE DEPT,OK,local_police
BERRIEN COUNTY SHERIFF DEPT,GA,sheriff_dept
BESSEMER POLICE DEPT,AL,local_police
BETHEL POLICE DEPT,AK,local_police
BETHEL POLICE DEPT,NC,local_police
BETHLEHEM POLICE DEPT,PA,local_police
BEXAR COUNTY CONSTABLE PRECINCT 2,TX,local_police
BEXAR COUNTY CONSTABLE PRECINCT 4,TX,local_police
BIG HORN COUNTY SHERIFF'S OFFICE,WY,sheriff_dept
BILLERICA AUXILIARY POLICE (EMA),MA,local_police
BILOXI POLICE DEPT,MS,local_police
BIRMINGHAM POLICE DEPT,AL,local_police
BLACK RIVER FALLS POLICE DEPT,WI,local_police
BLACKFORD COUNTY SHERIFF OFFICE,IN,sheriff_dept
BLAINE CTY SHERIFF DEPT,MT,sheriff_dept
BLOOMFIELD POLICE DEPT,NM,local_police
BLOOMSBURG POLICE DEPT,PA,local_police
BLOOMVILLE POLICE DEPT,OH,local_police
BLOUNT COUNTY SHERIFF DEPT,AL,sheriff_dept
BOARDMAN POLICE DEPT,OR,local_police
BOARDMAN POLICE DEPT,OH,local_police
BOAZ POLICE DEPT,AL,local_police
BOLINGBROOK POLICE DEPT,IL,local_police
BOLIVAR POLICE DEPT,TN,local_police
BOND COUNTY SHERIFF DEPT,IL,sheriff_dept
BONNER COUNTY SHERIFF OFFICE,ID,sheriff_dept
BOONE COUNTY SHERIFF DEPT,AR,sheriff_dept
BOONE COUNTY SHERIFF DEPT,KY,sheriff_dept
BOSCAWEN POLICE DEPT,NH,local_police
BOUNDARY COUNTY SHERIFF DEPT,ID,sheriff_dept
BOURBON COUNTY SHERIFF DEPT,KY,sheriff_dept
BOURBON POLICE DEPT,IN,local_police
BOWIE COUNTY  SHERIFF DEPT,TX,sheriff_dept
BOYLE COUNTY SHERIFF DEPT,KY,sheriff_dept
