0500000US05119,05119,"Pulaski County, Arkansas",388953,*****,231887,1905,138962,1438,1509,679,8787,594,0,184,1459,982,6349,1897,188,196,6161,1878
0500000US05125,05125,"Saline County, Arkansas",111845,*****,101653,990,6237,790,187,223,985,422,0,184,1055,941,1728,906,62,106,1666,912
0500000US05131,05131,"Sebastian County, Arkansas",127304,*****,104655,1391,7712,1017,2175,619,5710,419,238,331,1875,1072,4939,1109,332,388,4607,1118
0500000US05143,05143,"Washington County, Arkansas",211411,*****,164100,4150,7639,697,1770,589,5314,580,4638,122,23132,4224,4818,1222,305,487,4513,1115
0500000US06001,06001,"Alameda County, California",1554720,*****,708878,8061,184261,3448,10634,2166,415463,4864,14201,739,122901,7475,98382,6753,19425,3450,78957,6083
0500000US06007,06007,"Butte County, California",221539,*****,188102,1785,3425,636,1892,584,10111,821,153,223,4273,1423,13583,1918,1625,697,11958,1704
0500000US06013,06013,"Contra Costa County, California",1079597,*****,678464,7646,97624,3638,6624,1552,159292,3945,5336,985,70178,7553,62079,6480,8836,2005,53243,6161
0500000US06017,06017,"El Dorado County, California",180561,*****,155511,1775,1370,412,991,668,8152,1284,0,197,8359,1827,6178,1426,696,531,5482,1262
0500000US06019,06019,"Fresno County, California",947895,*****,527535,12274,49545,2175,10638,2924,93292,3085,1304,333,226954,11922,38627,4855,16406,3434,22221,3281
0500000US06023,06023,"Humboldt County, California",134827,*****,111133,1203,2240,223,6935,1241,3904,433,412,223,2737,1152,7466,1510,1391,739,6075,1351
0500000US06025,06025,"Imperial County, California",176948,*****,142527,4211,5365,415,1100,313,2268,575,467,455,18783,3873,6438,1504,3417,1283,3021,880
0500000US06029,06029,"Kern County, California",856158,*****,612061,10123,47122,3174,12047,3067,40221,1354,1679,324,116262,9978,26766,4564,7953,1831,18813,4267
0500000US06031,06031,"Kings County, California",151364,*****,105685,4614,9792,773,1330,449,6110,1351,44,58,21873,4620,6530,1285,1841,793,4689,1097
0500000US06033,06033,"Lake County, California",63983,*****,51772,1351,1683,240,1570,900,838,624,514,634,5394,1429,2212,772,329,367,1883,696
0500000US06037,06037,"Los Angeles County, California",9962789,*****,5321307,32529,832875,9980,44987,3773,1384775,7304,24486,1752,1960300,33736,394059,15120,109326,7201,284733,13551
0500000US06039,06039,"Madera County, California",152218,*****,122012,4080,6016,1141,2936,1115,3247,414,165,163,12876,3404,4966,1856,1677,858,3289,1769
0500000US06041,06041,"Marin County, California",256069,*****,205171,3078,5897,872,1044,724,15555,1640,261,278,17383,3596,10758,2432,2632,1822,8126,1749
0500000US06045,06045,"Mendocino County, California",87428,*****,72850,2056,446,427,2976,697,1839,280,322,272,5130,2110,3865,972,617,579,3248,732
0500000US06047,06047,"Merced County, California",262305,*****,157661,5636,9337,936,2839,1580,20014,1540,1016,1296,60222,5455,11216,2755,3420,1595,7796,1960
0500000US06053,06053,"Monterey County, California",426762,*****,313397,6927,12120,927,2304,1000,27707,1769,1967,270,53409,6624,15858,2330,4400,1681,11458,1631
0500000US06055,06055,"Napa County, California",139045,*****,105822,3693,2988,358,776,508,10625,527,170,134,14631,3411,4033,1251,1451,902,2582,794
0500000US06057,06057,"Nevada County, California",98292,*****,91658,940,279,314,1056,344,1316,616,50,76,565,420,3368,1068,589,612,2779,776
0500000US06059,06059,"Orange County, California",3090132,*****,1974285,17597,46639,2957,10899,2209,575713,4490,9490,966,357608,17671,115498,7234,29587,4043,85911,6247
0500000US06061,06061,"Placer County, California",361682,*****,304087,2997,3967,938,1887,671,23918,1244,199,249,12037,2936,15587,1846,1847,786,13740,1816
0500000US06065,06065,"Riverside County, California",2268783,*****,1489846,20542,140875,4420,22967,3426,133076,4899,7005,1364,381561,19622,93453,9009,24733,3889,68720,7984
0500000US06067,06067,"Sacramento County, California",1450121,*****,862619,9306,145843,4678,12869,2917,217477,4399,15183,1365,103502,8414,92628,7924,13008,2936,79620,7054
0500000US06071,06071,"San Bernardino County, California",2081313,*****,1302587,17334,185086,5316,22260,3912,136597,2916,7259,578,342936,16593,84588,7004,23717,3583,60871,5918
0500000US06073,06073,"San Diego County, California",3177063,*****,2237694,16144,163368,3877,26541,4238,364545,6362,15737,1146,224477,14245,144701,10598,28772,4222,115929,9201
0500000US06075,06075,"San Francisco County, California",825863,*****,409803,5406,46406,2304,2640,1181,274340,3274,3381,459,50114,5558,39179,3722,5262,1548,33917,3627
0500000US06077,06077,"San Joaquin County, California",702612,*****,395346,9336,50103,2038,5158,1404,100563,3953,4031,753,91540,8452,55871,6872,8923,2214,46948,6588
0500000US06079,06079,"San Luis Obispo County, California",274804,*****,229174,4566,4894,1258,2495,1573,11025,928,76,88,16406,4125,10734,2324,1226,636,9508,2010
0500000US06081,06081,"San Mateo County, California",739311,*****,422116,7594,19849,1402,2542,1224,192094,2796,10044,867,61989,7516,30677,3052,5766,1576,24911,2728
0500000US06083,06083,"Santa Barbara County, California",431249,*****,320505,8756,9676,1542,4612,1165,22024,1971,1055,703,56710,8791,16667,2997,5297,2153,11370,1724
0500000US06085,06085,"Santa Clara County, California",1837504,*****,922367,13475,49013,2401,9597,1722,608358,4356,7015,794,162851,12712,78303,6247,17415,2968,60888,5460
0500000US06087,06087,"Santa Cruz County, California",266776,*****,221730,4724,3020,532,1952,1000,10991,1218,521,180,16308,4214,12254,2025,2534,883,9720,1885
0500000US06089,06089,"Shasta County, California",178586,*****,155477,2024,2059,800,6495,1858,4891,767,0,197,3397,1273,6267,1668,418,399,5849,1766
0500000US06095,06095,"Solano County, California",420757,*****,227816,4300,55648,2915,2055,719,64570,2022,3944,520,36095,4492,30629,4159,4741,1770,25888,3780
0500000US06097,06097,"Sonoma County, California",491829,*****,376599,6183,8402,1251,5481,2287,19808,1954,1763,995,60431,5993,19345,3009,3424,1214,15921,2700
0500000US06099,06099,"Stanislaus County, California",521726,*****,395749,7549,14118,2029,3515,1000,27678,1878,3884,437,54101,6964,22681,3484,5333,1552,17348,3108
0500000US06101,06101,"Sutter County, California",95022,*****,66209,2325,1412,438,1600,807,13962,1049,51,56,6248,2389,5540,1416,919,432,4621,1367
0500000US06107,06107,"Tulare County, California",451977,*****,364336,6736,7047,866,5098,1262,15248,1509,513,432,41034,5759,18701,3887,4975,1606,13726,3420
0500000US06111,06111,"Ventura County, California",835981,*****,651545,7682,16535,1840,4214,1625,56835,2374,1430,745,68418,7991,37004,4170,11126,2575,25878,3238
0500000US06113,06113,"Yolo County, California",204118,*****,136360,4138,5129,930,1806,800,28186,1406,640,782,20778,3998,11219,2173,2640,1124,8579,1779
0500000US06115,06115,"Yuba County, California",72926,*****,51871,2025,2402,387,744,548,5582,456,273,222,6379,1757,5675,1097,2317,898,3358,711
0500000US08001,08001,"Adams County, Colorado",459598,*****,380017,6171,14776,1580,3540,1694,16944,1098,406,299,27086,5685,16829,3253,3148,1173,13681,3090
0500000US08005,08005,"Arapahoe County, Colorado",595546,*****,445459,5621,61781,2153,4689,1516,31856,1199,1177,258,23048,4775,27536,4414,10160,3254,17376,2684
0500000US08013,08013,"Boulder County, Colorado",305318,*****,270200,3059,3354,853,1174,615,14208,989,19,34,9585,3010,6778,1427,434,397,6344,1405
0500000US08031,08031,"Denver County, Colorado",634265,*****,479745,6561,64566,1834,5941,1536,21689,2099,464,422,39761,6236,22099,3404,6071,2257,16028,2606
0500000US08035,08035,"Douglas County, Colorado",298215,*****,271346,1601,3688,547,858,449,12212,993,153,184,3277,1391,6681,1514,1268,949,5413,1433
0500000US08041,08041,"El Paso County, Colorado",644964,*****,527453,4503,41251,3831,3980,1161,16719,1284,1362,666,22170,4080,32029,4486,2920,1373,29109,4116
0500000US08059,08059,"Jefferson County, Colorado",545358,*****,495398,3342,6650,870,5189,1132,13596,1307,69,94,9343,2759,15113,2091,2741,1004,12372,1839
0500000US08069,08069,"Larimer County, Colorado",310487,*****,281231,3020,2963,672,1278,573,5803,733,373,489,7906,2676,10933,2012,2040,816,8893,1680
0500000US08077,08077,"Mesa County, Colorado",147848,*****,136439,1926,920,264,1598,860,766,352,196,218,3447,1700,4482,1133,735,902,3747,644
0500000US08101,08101,"Pueblo County, Colorado",160852,*****,128522,4049,3280,387,2869,742,744,441,95,144,17550,3510,7792,1870,4037,1617,3755,944
0500000US08123,08123,"Weld County, Colorado",263691,*****,222649,4260,2771,629,2589,647,3897,592,35,69,25031,4249,6719,1490,2257,743,4462,1328
0500000US09001,09001,"Fairfield County, Connecticut",933835,*****,693587,5790,105247,3803,2372,873,47022,1149,315,415,61074,5961,24218,3478,7014,2277,17204,3093
0500000US09003,09003,"Hartford County, Connecticut",897259,*****,664870,5625,117870,3667,2918,1625,40195,1426,1759,1645,40985,5194,28662,4181,6206,1833,22456,3591
0500000US09005,09005,"Litchfield County, Connecticut",187530,*****,176068,1286,1976,671,453,344,3687,298,0,193,2019,981,3327,1185,455,470,2872,1085
0500000US09007,09007,"Middlesex County, Connecticut",165602,*****,147849,1277,9375,1417,289,453,4796,359,34,58,904,647,2355,966,319,323,2036,836
0500000US09009,09009,"New Haven County, Connecticut",862813,*****,651410,6577,110151,2347,3566,1191,32054,1303,111,148,46060,6193,19461,2584,5116,1807,14345,2364
0500000US09011,09011,"New London County, Connecticut",274170,*****,226256,2304,14932,1746,1499,496,12555,572,42,69,8864,2110,10022,1885,1284,635,8738,1768
0500000US09013,09013,"Tolland County, Connecticut",151539,*****,136615,879,4158,965,195,288,6114,518,0,193,1787,846,2670,1148,221,307,2449,1081
0500000US09015,09015,"Windham County, Connecticut",117599,*****,108317,1562,2641,531,335,362,1407,282,0,193,1730,1237,3169,851,421,439,2748,673
0500000US10001,10001,"Kent County, Delaware",167626,*****,115221,1565,40858,1365,1316,190,3446,571,21,28,1803,869,4961,1304,587,590,4374,1318
0500000US10003,10003,"New Castle County, Delaware",546076,*****,362012,3290,130388,2743,941,495,25166,1304,105,103,14012,3443,13452,2664,1273,493,12179,2620
0500000US10005,10005,"Sussex County, Delaware",203390,*****,162061,2752,25704,1005,611,305,2020,512,18,30,7436,2828,5540,1531,1165,1026,4375,1369
0500000US11001,11001,"District of Columbia, District of Columbia",632323,*****,250657,4014,313224,2333,2258,864,21858,1613,54,90,28401,4268,15871,2753,2654,1205,13217,2357
0500000US12001,12001,"Alachua County, Florida",251417,*****,174971,1555,49637,1715,775,322,13072,1304,254,362,3172,1213,9536,2278,2351,1392,7185,1993
0500000US12005,12005,"Bay County, Florida",171903,*****,141459,911,18286,1408,1010,401,3220,755,103,89,537,402,7288,1694,480,330,6808,1653
0500000US12009,12009,"Brevard County, Florida",547307,*****,456906,2144,55223,2449,1146,652,12279,1068,2519,2493,5658,1635,13576,2415,1269,741,12307,2350
0500000US12011,12011,"Broward County, Florida",1815137,*****,1141073,8903,494269,5094,3631,953,60120,2160,1006,816,62768,7960,52270,6059,12571,3137,39699,5289
0500000US12015,12015,"Charlotte County, Florida",162449,*****,146769,1005,7147,2022,513,421,1815,481,150,257,1214,906,4841,2077,61,78,4780,2079
0500000US12017,12017,"Citrus County, Florida",139360,*****,130723,493,4544,603,97,92,2041,424,0,211,123,153,1832,622,62,156,1770,608
0500000US12019,12019,"Clay County, Florida",194345,*****,159515,1874,18890,2098,907,512,6483,1119,0,211,2306,1323,6244,2182,172,219,6072,2197
0500000US12021,12021,"Collier County, Florida",332427,*****,293849,2791,21620,1304,873,361,4612,276,0,211,7663,2691,3810,1581,919,678,2891,1276
0500000US12023,12023,"Columbia County, Florida",67966,*****,52491,540,12099,1366,0,211,238,378,0,211,675,523,2463,1251,349,268,2114,1233
0500000US12031,12031,"Duval County, Florida",879602,*****,544673,3509,252308,3607,2467,1164,37804,2097,1058,479,9834,2338,31458,4858,1760,986,29698,4910
0500000US12033,12033,"Escambia County, Florida",302715,*****,210267,1820,64255,2488,1232,701,9049,639,111,128,3441,1933,14360,2607,325,293,14035,2601
0500000US12035,12035,"Flagler County, Florida",98359,*****,77874,1270,11999,1095,0,211,2174,464,64,130,4058,1658,2190,1260,761,773,1429,983
0500000US12053,12053,"Hernando County, Florida",173422,*****,154847,1766,10043,978,745,865,1970,440,21,39,1839,1391,3957,1267,471,338,3486,1203
0500000US12055,12055,"Highlands County, Florida",98128,*****,84700,820,10230,690,124,172,1643,177,181,343,514,486,736,558,328,468,408,409
0500000US12057,12057,"Hillsborough County, Florida",1277746,*****,926709,9211,212964,5314,4097,1710,44088,2148,590,412,52865,7565,36433,4798,7647,1912,28786,4043
0500000US12061,12061,"Indian River County, Florida",140567,*****,120669,2159,12825,987,0,211,1807,281,0,211,3080,1980,2186,1166,0,211,2186,1166
0500000US12069,12069,"Lake County, Florida",303186,*****,254060,3407,30197,1669,993,985,4525,2138,267,431,5945,2994,7199,2838,2383,2285,4816,1838
0500000US12071,12071,"Lee County, Florida",645293,*****,546424,5868,53174,2614,1825,815,11307,1572,10,21,20792,5572,11761,2819,3970,1523,7791,2858
0500000US12073,12073,"Leon County, Florida",283769,*****,176881,1712,87409,1714,666,507,9029,548,0,211,3686,1568,6098,1793,750,446,5348,1676
0500000US12081,12081,"Manatee County, Florida",333895,*****,285526,2740,29102,1480,1333,766,6246,724,0,211,6269,2453,5419,1766,448,447,4971,1773
0500000US12083,12083,"Marion County, Florida",335125,*****,273739,3000,41038,2504,1834,597,5348,342,75,131,6453,3230,6638,2075,2288,1537,4350,1549
0500000US12085,12085,"Martin County, Florida",148817,*****,125631,2512,9185,1515,380,374,1552,371,36,60,10100,2966,1933,925,133,165,1800,929
0500000US12086,12086,"Miami-Dade County, Florida",2591035,*****,1967074,9793,487569,6284,3196,1058,41965,2059,700,631,55071,6744,35460,4603,11878,2189,23582,4347
0500000US12087,12087,"Monroe County, Florida",74809,*****,66900,903,5523,904,405,520,211,207,0,211,828,625,942,612,238,321,704,528
0500000US12091,12091,"Okaloosa County, Florida",190083,*****,149635,1572,17041,1447,726,554,6432,845,242,180,7225,1769,8782,2073,979,590,7803,1832
0500000US12095,12095,"Orange County, Florida",1202234,*****,777502,11317,256542,5190,1874,733,57438,3591,100,119,72607,10599,36171,5309,13506,4033,22665,3664
0500000US12097,12097,"Osceola County, Florida",287416,*****,215200,5781,34793,3565,978,450,8402,1272,0,211,18795,4847,9248,2635,2313,1251,6935,2304
0500000US12099,12099,"Palm Beach County, Florida",1356545,*****,1026820,5742,238611,4056,1908,805,34302,1372,1292,1490,24241,4816,29371,3802,4221,1145,25150,3439
0500000US12101,12101,"Pasco County, Florida",470391,*****,416823,2458,21525,1699,2332,676,11046,904,896,666,3402,1129,14367,2464,5210,1883,9157,2091
0500000US12103,12103,"Pinellas County, Florida",921319,*****,766728,2723,94889,1888,3453,749,27890,1384,512,241,6387,1861,21460,2944,3333,1251,18127,2675
0500000US12105,12105,"Polk County, Florida",616158,*****,486415,4278,93201,3023,1878,1038,10458,1479,213,239,8954,2719,15039,3321,1520,723,13519,3269
0500000US12107,12107,"Putnam County, Florida",73263,*****,54911,1050,12918,946,176,173,357,222,84,143,3659,1393,1158,546,315,381,843,322
